Product,Specific Gravity,Purpose
OMNI-LUBE,0.983,Lubricant 
OMNI-MUL,0.928,Emulsifier
OMNI-MUL E,0.961,Emulsifier
OMNI-MUL II,0.928,Emulsifier 
OMNI-PLEX,1.100,Rheology / Filtration
OMNI-TEC,0.980,Emulsifier
OMNI-TROL,1.500,HTHP Filtration
OMNI-VERT MOD,0.980,Emulsifier 
OMYACARB,2.710,Weight material/LCM
OPTI G HP,1.030,HTHP Filtration 
ORIMATITA,5.100,Weight
OV SEAL C,1.010,HTHP Filtration 
OVA COL 110,1.042,Shale Control 
OVA COR E,0.950,Corrosion Inhibitor 
OVA FL DF400,0.950,HTHP Filtration 
OVA GEL HT,1.800,Rheology / Filtration
OVA GEL HT,1.800,Rheology / Filtration
OVA GEL LT,1.800,Rheology / Filtration
OVA GRM,1.600,Rheology / Filtration
OVA HEC L,1.050,Rheology / Filtration
OVA HIB C,1.100,Shale Control 
OVA HIB E,1.150,Shale Control 
OVA LUBE C,0.970,Lubricant 
OVA LUBE S,0.849,Lubricant 
OVA LUBE S2,0.871,Lubricant 
OVA PAC LV,1.500,Rheology / Filtration
OVA PLIO,0.930,HTHP Filtration 
OVA TROL HT,1.200,Rheology / Filtration
OVA TROL LT,1.160,Rheology / Filtration
OVA VIS,0.860,Rheology / Filtration
OVA XAN D,1.500,Rheology / Filtration
PAPER,0.360,LCM
PARA-TEQ,0.765,Base Oil
PENETEQ,0.880,ROP
PENETREX,0.834,ROP
PENETREX L,0.761,ROP
PENETREX NS,0.870,ROP
PERFFLOW-306,1.000,Drill-in Additive
PERFFLOW-307,1.000,Drill-in Additive
PERMA-LOSE HT,1.450,HTHP Filtration
PETRHOSPEC DC-1,1.000,Emulsifier
PLIOLITE DF-01,1.030,HTHP Filtration
POLYDRILL,1.800,Rheology / Filtration
POLY-KAT,1.130,Shale Control
Potassium Hydroxide,2.044,pH Control
Potassium Sulfate (K2SO4),2.660,Shale Control 
Propylene carbonate,1.200,Other 
PROTECTOMAGIC,1.250,Shale Control
